title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url,opening_weekend,opening_theaters,budget,mpaa_rating,runtime_min,distributor
Bad Boys for Life,2020,2020-01-17,206305244.0,3775.0,Action Comedy Crime Thriller,,https://www.boxofficemojo.com/release/rl1182631425/?ref_=bo_yld_table_1,62504105.0,3775.0,90000000.0,R,124.0,Sony Pictures Releasing
1917,2020,Dec 25,159227644.0,3987.0,Drama War,,https://www.boxofficemojo.com/release/rl2969994753/?ref_=bo_yld_table_2,576216.0,11.0,95000000.0,R,119.0,Universal Pictures
Sonic the Hedgehog,2020,2020-02-14,148974665.0,4198.0,Action Adventure Comedy Family Fantasy Sci-Fi,,https://www.boxofficemojo.com/release/rl4244997633/?ref_=bo_yld_table_3,58018348.0,4167.0,85000000.0,PG,99.0,Paramount Pictures
Jumanji: The Next Level,2020,2019-12-13,320314960.0,4227.0,Action Adventure Comedy Fantasy,,https://www.boxofficemojo.com/release/rl755467777/?ref_=bo_yld_table_4,59251543.0,4227.0,125000000.0,PG,123.0,Sony Pictures Releasing
Star Wars: Episode IX - The Rise of Skywalker,2020,2019-12-20,515202542.0,4406.0,Action Adventure Fantasy Sci-Fi,,https://www.boxofficemojo.com/release/rl3305145857/?ref_=bo_yld_table_5,177383864.0,4406.0,275000000.0,PG,141.0,Walt Disney Studios Motion Pictures
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,2020-02-07,84158461.0,4236.0,Action Comedy Crime,,https://www.boxofficemojo.com/release/rl3640886785/?ref_=bo_yld_table_6,33010017.0,4236.0,84500000.0,R,109.0,Warner Bros.
Dolittle,2020,2020-01-17,77047065.0,4155.0,Adventure Comedy Family Fantasy,,https://www.boxofficemojo.com/release/rl2164295169/?ref_=bo_yld_table_7,21844045.0,4155.0,175000000.0,PG,101.0,Universal Pictures
Little Women,2020,2019-12-25,108101214.0,3308.0,Drama Romance,,https://www.boxofficemojo.com/release/rl218596865/?ref_=bo_yld_table_8,16755310.0,3308.0,40000000.0,PG,135.0,Sony Pictures Releasing
The Invisible Man,2020,2020-02-28,70410000.0,3636.0,Drama Horror Mystery Sci-Fi Thriller,,https://www.boxofficemojo.com/release/rl50628097/?ref_=bo_yld_table_9,28205665.0,3610.0,7000000.0,R,124.0,Universal Pictures
The Call of the Wild,2020,2020-02-21,62342368.0,3914.0,Adventure Drama Family,,https://www.boxofficemojo.com/release/rl2533524993/?ref_=bo_yld_table_10,24791624.0,3752.0,135000000.0,PG,100.0,20th Century Studios
