title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url
Bad Boys for Life,2020,Jan 17,206305244.0,3775.0,-,,https://www.boxofficemojo.com/release/rl1182631425/?ref_=bo_yld_table_1
1917,2020,Dec 25,159227644.0,3987.0,-,,https://www.boxofficemojo.com/release/rl2969994753/?ref_=bo_yld_table_2
Sonic the Hedgehog,2020,Feb 14,148974665.0,4198.0,-,,https://www.boxofficemojo.com/release/rl4244997633/?ref_=bo_yld_table_3
Jumanji: The Next Level,2020,Dec 13,320314960.0,4227.0,-,,https://www.boxofficemojo.com/release/rl755467777/?ref_=bo_yld_table_4
Star Wars: Episode IX - The Rise of Skywalker,2020,Dec 20,515202542.0,4406.0,-,,https://www.boxofficemojo.com/release/rl3305145857/?ref_=bo_yld_table_5
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,Feb 7,84158461.0,4236.0,-,,https://www.boxofficemojo.com/release/rl3640886785/?ref_=bo_yld_table_6
Dolittle,2020,Jan 17,77047065.0,4155.0,-,,https://www.boxofficemojo.com/release/rl2164295169/?ref_=bo_yld_table_7
Little Women,2020,Dec 25,108101214.0,3308.0,-,,https://www.boxofficemojo.com/release/rl218596865/?ref_=bo_yld_table_8
The Invisible Man,2020,Feb 28,70410000.0,3636.0,-,,https://www.boxofficemojo.com/release/rl50628097/?ref_=bo_yld_table_9
The Call of the Wild,2020,Feb 21,62342368.0,3914.0,-,,https://www.boxofficemojo.com/release/rl2533524993/?ref_=bo_yld_table_10
Onward,2020,Mar 6,61555145.0,4310.0,-,,https://www.boxofficemojo.com/release/rl3433267713/?ref_=bo_yld_table_11
Tenet,2020,Sep 3,58504105.0,2930.0,-,,https://www.boxofficemojo.com/release/rl1442940417/?ref_=bo_yld_table_12
Knives Out,2020,Nov 27,165363234.0,3461.0,-,,https://www.boxofficemojo.com/release/rl3204875777/?ref_=bo_yld_table_13
Frozen II,2020,Nov 22,477373578.0,4440.0,-,,https://www.boxofficemojo.com/release/rl2424210945/?ref_=bo_yld_table_14
Spies in Disguise,2020,Dec 25,66757013.0,3502.0,-,,https://www.boxofficemojo.com/release/rl1333691905/?ref_=bo_yld_table_15
The Gentlemen,2020,Jan 24,36471795.0,2675.0,-,,https://www.boxofficemojo.com/release/rl3473442305/?ref_=bo_yld_table_16
Just Mercy,2020,Dec 25,36001502.0,2457.0,-,,https://www.boxofficemojo.com/release/rl419792385/?ref_=bo_yld_table_17
The Croods: A New Age,2020,Nov 25,58568815.0,2211.0,-,,https://www.boxofficemojo.com/release/rl3209528833/?ref_=bo_yld_table_18
Parasite,2020,Oct 11,53369749.0,2001.0,-,,https://www.boxofficemojo.com/release/rl1258849793/?ref_=bo_yld_table_19
Fantasy Island,2020,Feb 14,27309289.0,2784.0,-,,https://www.boxofficemojo.com/release/rl1611040257/?ref_=bo_yld_table_20
Uncut Gems,2020,Dec 13,50023780.0,2686.0,-,,https://www.boxofficemojo.com/release/rl3825763841/?ref_=bo_yld_table_21
The New Mutants,2020,Aug 28,23852659.0,2754.0,-,,https://www.boxofficemojo.com/release/rl1098876417/?ref_=bo_yld_table_22
Wonder Woman 1984,2020,Dec 25,46801036.0,2218.0,-,,https://www.boxofficemojo.com/release/rl3624109569/?ref_=bo_yld_table_23
Like a Boss,2020,Jan 10,22169514.0,3081.0,-,,https://www.boxofficemojo.com/release/rl4278486529/?ref_=bo_yld_table_24
The Grudge,2020,Jan 3,21221803.0,2642.0,-,,https://www.boxofficemojo.com/release/rl1745126913/?ref_=bo_yld_table_25
Unhinged,2020,Aug 14,20831465.0,2402.0,-,,https://www.boxofficemojo.com/release/rl2141815297/?ref_=bo_yld_table_26
The Photograph,2020,Feb 14,20578185.0,2516.0,-,,https://www.boxofficemojo.com/release/rl1655931393/?ref_=bo_yld_table_27
The War with Grandpa,2020,Oct 9,21277892.0,2365.0,-,,https://www.boxofficemojo.com/release/rl1078166273/?ref_=bo_yld_table_28
Underwater,2020,Jan 10,17291078.0,2791.0,-,,https://www.boxofficemojo.com/release/rl302548481/?ref_=bo_yld_table_29
The Turning,2020,Jan 24,15472775.0,2571.0,-,,https://www.boxofficemojo.com/release/rl3020195329/?ref_=bo_yld_table_30
Gretel & Hansel,2020,Jan 31,15347654.0,3007.0,-,,https://www.boxofficemojo.com/release/rl3842541057/?ref_=bo_yld_table_31
Honest Thief,2020,Oct 9,14163574.0,2502.0,-,,https://www.boxofficemojo.com/release/rl565543425/?ref_=bo_yld_table_32
My Hero Academia: Heroes Rising,2020,Feb 26,13304000.0,1231.0,-,,https://www.boxofficemojo.com/release/rl867926529/?ref_=bo_yld_table_33
Bombshell,2020,Dec 13,31762808.0,1721.0,-,,https://www.boxofficemojo.com/release/rl2550760961/?ref_=bo_yld_table_34
The Way Back,2020,-,13590514.0,2718.0,-,,https://www.boxofficemojo.com/release/rl4127819265/?ref_=bo_yld_table_35
Brahms: The Boy II,2020,Feb 21,12611536.0,2151.0,-,,https://www.boxofficemojo.com/release/rl2567538177/?ref_=bo_yld_table_36
Jojo Rabbit,2020,Oct 18,33370906.0,1173.0,-,,https://www.boxofficemojo.com/release/rl2030601729/?ref_=bo_yld_table_37
Impractical Jokers: The Movie,2020,Feb 21,10691091.0,1900.0,-,,https://www.boxofficemojo.com/release/rl2998501889/?ref_=bo_yld_table_38
Ford v Ferrari,2020,Nov 15,117624357.0,3746.0,-,,https://www.boxofficemojo.com/release/rl990348801/?ref_=bo_yld_table_39
Emma.,2020,Feb 21,10055355.0,1732.0,-,,https://www.boxofficemojo.com/release/rl3221784065/?ref_=bo_yld_table_40
Bloodshot,2020,Mar 13,12561824.0,2861.0,-,,https://www.boxofficemojo.com/release/rl235374081/?ref_=bo_yld_table_41
I Still Believe,2020,Mar 13,9868521.0,3250.0,-,,https://www.boxofficemojo.com/release/rl1628014081/?ref_=bo_yld_table_42
Come Play,2020,Oct 30,10475990.0,2183.0,-,,https://www.boxofficemojo.com/release/rl2773844737/?ref_=bo_yld_table_43
Let Him Go,2020,Nov 6,9358025.0,2458.0,-,,https://www.boxofficemojo.com/release/rl2393408001/?ref_=bo_yld_table_44
Freaky,2020,Nov 13,9030855.0,2472.0,-,,https://www.boxofficemojo.com/release/rl1699840769/?ref_=bo_yld_table_45
Downhill,2020,Feb 14,8287061.0,2311.0,-,,https://www.boxofficemojo.com/release/rl2611249665/?ref_=bo_yld_table_46
Weathering with You,2020,Jan 15,8056636.0,1020.0,-,,https://www.boxofficemojo.com/release/rl3669066241/?ref_=bo_yld_table_47
Cats,2020,Dec 20,27166770.0,3380.0,-,,https://www.boxofficemojo.com/release/rl2684847617/?ref_=bo_yld_table_48
The Hunt,2020,Mar 13,5812500.0,3028.0,-,,https://www.boxofficemojo.com/release/rl1459979777/?ref_=bo_yld_table_49
The Rhythm Section,2020,Jan 31,5437971.0,3049.0,-,,https://www.boxofficemojo.com/release/rl3775038977/?ref_=bo_yld_table_50
Monster Hunter,2020,Dec 18,15162470.0,1817.0,-,,https://www.boxofficemojo.com/release/rl1862895105/?ref_=bo_yld_table_51
A Beautiful Day in the Neighborhood,2020,Nov 22,61704055.0,3491.0,-,,https://www.boxofficemojo.com/release/rl2651096577/?ref_=bo_yld_table_52
Hocus Pocus,2020,Oct 2,43846.0,2570.0,-,,https://www.boxofficemojo.com/release/rl1331004161/?ref_=bo_yld_table_53
Richard Jewell,2020,Dec 13,22345542.0,2502.0,-,,https://www.boxofficemojo.com/release/rl2903213569/?ref_=bo_yld_table_54
The SpongeBob Movie: Sponge on the Run,2020,Aug 14,4810790.0,326.0,-,,https://www.boxofficemojo.com/release/rl2558297601/?ref_=bo_yld_table_55
The Broken Hearts Gallery,2020,Sep 11,4067442.0,2221.0,-,,https://www.boxofficemojo.com/release/rl742425345/?ref_=bo_yld_table_56
Infidel,2020,Sep 18,4051990.0,1885.0,-,,https://www.boxofficemojo.com/release/rl314475009/?ref_=bo_yld_table_57
News of the World,2020,Dec 25,12668325.0,1986.0,-,,https://www.boxofficemojo.com/release/rl3054208513/?ref_=bo_yld_table_58
Portrait of a Lady on Fire,2020,Dec 6,3759854.0,334.0,-,,https://www.boxofficemojo.com/release/rl1325958657/?ref_=bo_yld_table_59
Bill & Ted Face the Music,2020,Aug 28,3439660.0,1007.0,-,,https://www.boxofficemojo.com/release/rl3926492673/?ref_=bo_yld_table_60
2020 Oscar Nominated Short Films,2020,Jan 31,3306611.0,536.0,-,,https://www.boxofficemojo.com/release/rl615875073/?ref_=bo_yld_table_61
Queen & Slim,2020,Nov 27,43808310.0,1715.0,-,,https://www.boxofficemojo.com/release/rl50824705/?ref_=bo_yld_table_62
The Empty Man,2020,Oct 23,2992948.0,2051.0,-,,https://www.boxofficemojo.com/release/rl168527361/?ref_=bo_yld_table_63
My Boyfriend's Meds,2020,Feb 21,2971116.0,350.0,-,,https://www.boxofficemojo.com/release/rl537298433/?ref_=bo_yld_table_64
The Last Full Measure,2020,Jan 24,2949212.0,617.0,-,,https://www.boxofficemojo.com/release/rl1617987073/?ref_=bo_yld_table_65
Words on Bathroom Walls,2020,Aug 21,2542518.0,1395.0,-,,https://www.boxofficemojo.com/release/rl2437120769/?ref_=bo_yld_table_66
Star Wars: Episode V - The Empire Strikes Back,2020,Jul 10,2482000.0,2097.0,-,,https://www.boxofficemojo.com/release/rl172327681/?ref_=bo_yld_table_67
Fatale,2020,Dec 18,6306897.0,1222.0,-,,https://www.boxofficemojo.com/release/rl1846248961/?ref_=bo_yld_table_68
The Nightmare Before Christmas,2020,Oct 16,2286000.0,2194.0,-,,https://www.boxofficemojo.com/release/rl3260515073/?ref_=bo_yld_table_69
Ip Man 4: The Finale,2020,Dec 25,3956031.0,125.0,-,,https://www.boxofficemojo.com/release/rl1386316289/?ref_=bo_yld_table_70
Half Brothers,2020,Dec 4,2241980.0,1386.0,-,,https://www.boxofficemojo.com/release/rl760382209/?ref_=bo_yld_table_71
Elf,2020,Nov 13,2182679.0,850.0,-,,https://www.boxofficemojo.com/release/rl3042738945/?ref_=bo_yld_table_72
The Personal History of David Copperfield,2020,Aug 28,1876298.0,1550.0,-,,https://www.boxofficemojo.com/release/rl413237761/?ref_=bo_yld_table_73
The Wretched,2020,May 1,1814193.0,101.0,-,,https://www.boxofficemojo.com/release/rl716997121/?ref_=bo_yld_table_74
The Lodge,2020,Feb 7,2138907.0,395.0,-,,https://www.boxofficemojo.com/release/rl2517140993/?ref_=bo_yld_table_75
Joker,2020,Oct 4,335451311.0,4374.0,-,,https://www.boxofficemojo.com/release/rl252151297/?ref_=bo_yld_table_76
The Rental,2020,Jul 24,1637548.0,250.0,-,,https://www.boxofficemojo.com/release/rl1857978881/?ref_=bo_yld_table_77
Once Upon a Time... in Hollywood,2020,Jul 26,142502728.0,3659.0,-,,https://www.boxofficemojo.com/release/rl520455681/?ref_=bo_yld_table_78
