title,year,numbers_slug,thu_preview,fri,sat,sun,weekend_total_daily,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_remaining_mult,opening_rank,opening_theaters,per_theater
Star Wars: Episode IX - The Rise of Skywalker,2020,Star-Wars-Episode-IX-The-Rise-of-Skywalker-(2020),,,,,,,,,,,,
Sonic the Hedgehog,2020,Sonic-the-Hedgehog-(2020),,,,,,,,,,,,
Bad Boys for Life,2020,Bad-Boys-for-Life-(2020),,,,,,,,,,,,
Jumanji: The Next Level,2020,Jumanji-The-Next-Level-(2020),,,,,,,,,,,,
1917,2020,1917-(2020),,,,,,,,,,,,
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,Birds-of-Prey-and-the-Fantabulous-Emancipation-of-One-Harley-Quinn-(2020),,,,,,,,,,,,
Little Women,2020,Little-Women-(2020),,,,,,,,,,,,
The Invisible Man,2020,The-Invisible-Man-(2020),,,,,,,,,,,,
The Call of the Wild,2020,The-Call-of-the-Wild-(2020),,,,,,,,,,,,
Dolittle,2020,Dolittle-(2020),925000.0,6210110.0,8841885.0,6792050.0,22769045.0,21844045.0,3.6664,3.5175,1.7682,3,4155.0,1495.0
Tenet,2020,Tenet-(2020),,,,,,,,,,,,
Onward,2020,Onward-(2020),2000000.0,12096726.0,16514193.0,10508942.0,41119861.0,39119861.0,3.3993,3.2339,1.6364,1,4310.0,2807.0
Knives Out,2020,Knives-Out-(2020),,,,,,,,,,,,
Frozen II,2020,Frozen-II-(2020),,,,,,,,,,,,
Spies in Disguise,2020,Spies-in-Disguise-(2020),,,,,,,,,,,,
The Gentlemen,2020,The-Gentlemen-(2020),,,,,,,,,,,,
Just Mercy,2020,Just-Mercy-(2020),,81072.0,37318.0,36633.0,155023.0,155023.0,1.9122,1.9122,1.9816,-,4.0,20268.0
Fantasy Island,2020,Fantasy-Island-(2020),,5410273.0,4104353.0,2795794.0,12310420.0,12310420.0,2.2754,2.2754,1.6812,4,2784.0,1943.0
The Croods: A New Age,2020,The-Croods-A-New-Age-(2020),,,,,,,,,,,,
Parasite,2020,Parasite-(2020),,,,,,,,,,,,
Wonder Woman 1984,2020,Wonder-Woman-1984-(2020),,200000.0,,,,,,,,-,1681.0,119.0
The New Mutants,2020,The-New-Mutants-(2020),,,,,,,,,,,,
Uncut Gems,2020,Uncut-Gems-(2020),,212201.0,172168.0,152873.0,537242.0,537242.0,2.5318,2.5318,1.8879,12,5.0,42440.0
The Grudge,2020,The-Grudge-(2020),,,,,,,,,,,,
Unhinged,2020,Unhinged-(2020),,230000.0,1480282.0,1650312.0,3360594.0,3360594.0,14.6113,14.6113,2.1149,2,299.0,769.0
Like a Boss,2020,Like-a-Boss-(2020),,3900185.0,3780873.0,2330214.0,10011272.0,10011272.0,2.5669,2.5669,1.6163,2,3078.0,1267.0
The Photograph,2020,The-Photograph-(2020),,,,,,,,,,,,
Underwater,2020,Underwater-(2020),500000.0,2497331.0,2767282.0,1743684.0,7508297.0,7008297.0,3.0065,2.8063,1.6301,6,2791.0,895.0
The War with Grandpa,2020,The-War-with-Grandpa-(2020),,,,,,,,,,,,
Gretel & Hansel,2020,Gretel-and-Hansel-(2020),475000.0,2344557.0,2775454.0,1033996.0,6629007.0,6154007.0,2.8274,2.6248,1.3726,3,3007.0,780.0
The Turning,2020,The-Turning-(2020),,,,,,,,,,,,
Brahms: The Boy II,2020,Brahms-The-Boy-II-(2020),375000.0,2210191.0,2334829.0,1277986.0,6198006.0,5823006.0,2.8043,2.6346,1.5474,3,2151.0,1028.0
My Hero Academia: Heroes Rising,2020,My-Hero-Academia-Heroes-Rising-(2020),,,,,,,,,,,,
The Way Back,2020,The-Way-Back-(2020),,,,,,,,,,,,
Bombshell,2020,Bombshell-(2020),,136953.0,104975.0,77229.0,319157.0,319157.0,2.3304,2.3304,1.7357,-,4.0,34238.0
Jojo Rabbit,2020,Jojo-Rabbit-(2020),,,,,,,,,,,,
Bloodshot,2020,Bloodshot-(2020),1200000.0,3801099.0,3290187.0,2085409.0,10376695.0,9176695.0,2.7299,2.4142,1.6338,2,1329.0,3801099.0
Ford v Ferrari,2020,Ford-v-Ferrari-(2020),,,,,,,,,,,,
Impractical Jokers: The Movie,2020,Impractical-Jokers-The-Movie-(2020),,950007.0,1011295.0,645747.0,2607049.0,2607049.0,2.7442,2.7442,1.6385,8,357.0,2661.0
I Still Believe,2020,I-Still-Believe-(2020),780000.0,3993234.0,3141562.0,1968818.0,9883614.0,9103614.0,2.4751,2.2798,1.6267,1,3250.0,1229.0
Emma.,2020,Emma-(2020),,,,,,,,,,,,
Come Play,2020,Come-Play-(2020),150000.0,1094030.0,1331245.0,694600.0,3269875.0,3119875.0,2.9888,2.8517,1.5218,1,2183.0,501.0
Let Him Go,2020,Let-Him-Go-(2020),150000.0,1479580.0,1620470.0,900420.0,4150470.0,4000470.0,2.8052,2.7038,1.5557,1,2454.0,603.0
Freaky,2020,Freaky-(2020),,1486810.0,1397115.0,716430.0,3600355.0,3600355.0,2.4215,2.4215,1.5128,1,2472.0,601.0
Weathering with You,2020,Weathering-with-You-(2020),,,,,,,,,,,,
Downhill,2020,Downhill-(2020),,2098824.0,1545286.0,977908.0,4622018.0,4622018.0,2.2022,2.2022,1.6328,7,2301.0,912.0
Cats,2020,Cats-(2020),,,,,,,,,,,,
The Hunt,2020,The-Hunt-(2020),,,,,,,,,,,,
The Rhythm Section,2020,The-Rhythm-Section-(2020),,,,,,,,,,,,
Monster Hunter,2020,Monster-Hunter-(2020),,824964.0,796432.0,579873.0,2201269.0,2201269.0,2.6683,2.6683,1.7281,1,1736.0,475.0
A Beautiful Day in the Neighborhood,2020,A-Beautiful-Day-in-the-Neighborhood-(2020),,,,,,,,,,,,
Hocus Pocus,2020,Hocus-Pocus-(2020),,,,,,,,,,,,
The SpongeBob Movie: Sponge on the Run,2020,The-SpongeBob-Movie-Sponge-on-the-Run-(2020),,,,,,,,,,,,
Richard Jewell,2020,Richard-Jewell-(2020),,1557411.0,1951821.0,1196033.0,4705265.0,4705265.0,3.0212,3.0212,1.6128,5,2502.0,622.0
The Broken Hearts Gallery,2020,The-Broken-Hearts-Gallery-(2020),,,,,,,,,,,,
Infidel,2020,Infidel-(2020),,528056.0,526097.0,330143.0,1384296.0,1384296.0,2.6215,2.6215,1.6275,-,1724.0,306.0
Bill & Ted Face the Music,2020,Bill-and-Ted-Face-the-Music-(2020),,452170.0,417113.0,255724.0,1125007.0,1125007.0,2.488,2.488,1.6131,3,1007.0,449.0
Portrait of a Lady on Fire,2020,Portrait-of-a-Lady-on-Fire-(2020),,,,,,,,,,,,
News of the World,2020,News-of-the-World-(2020),,1000325.0,769880.0,480225.0,2250430.0,2250430.0,2.2497,2.2497,1.6238,-,1900.0,526.0
2020 Oscar Nominated Short Films,2020,2020-Oscar-Nominated-Short-Films-(2020),,,,,,,,,,,,
Queen & Slim,2020,Queen-and-Slim-(2020),,,,,,,,,,,,
The Empty Man,2020,The-Empty-Man-(2020),,,,,,,,,,,,
My Boyfriend's Meds,2020,My-Boyfriends-Meds-(2020),,,,,,,,,,,,
The Last Full Measure,2020,The-Last-Full-Measure-(2020),,,,,,,,,,,,
Star Wars: Episode V - The Empire Strikes Back,2020,Star-Wars-Episode-V-The-Empire-Strikes-Back-(2020),,,,,,,,,,,,
Words on Bathroom Walls,2020,Words-on-Bathroom-Walls-(2020),,148288.0,174743.0,109937.0,432968.0,432968.0,2.9198,2.9198,1.6291,-,924.0,160.0
Fatale,2020,Fatale-(2020),,339495.0,345657.0,232960.0,918112.0,918112.0,2.7043,2.7043,1.674,3,1107.0,307.0
Half Brothers,2020,Half-Brothers-(2020),,237450.0,287560.0,175150.0,700160.0,700160.0,2.9487,2.9487,1.6091,2,1369.0,173.0
The Nightmare Before Christmas,2020,The-Nightmare-Before-Christmas-(2020),,,,,,,,,,,,
Ip Man 4: The Finale,2020,Ip-Man-4-The-Finale-(2020),,,,,,,,,,,,
Elf,2020,Elf-(2020),,,,,,,,,,,,
The Personal History of David Copperfield,2020,The-Personal-History-of-David-Copperfield-(2020),,,,,,,,,,,,
The Wretched,2020,The-Wretched-(2020),,,,,,,,,,,,
The Lodge,2020,The-Lodge-(2020),,,,,,,,,,,,
Joker,2020,Joker-(2020),,29141.0,36920.0,39305.0,105366.0,105366.0,3.6157,3.6157,2.0646,-,73.0,399.0
The Rental,2020,The-Rental-(2020),,,,,,,,,,,,
2 Hearts,2020,2-Hearts-(2020),,196029.0,209494.0,117414.0,522937.0,522937.0,2.6677,2.6677,1.5605,-,1683.0,116.0
Once Upon a Time... in Hollywood,2020,Once-Upon-a-Time-in-Hollywood-(2020),,,,,,,,,,,,
Jurassic Park,2020,Jurassic-Park-(2020),,,,,,,,,,,,
Love and Monsters,2020,Love-and-Monsters-(2020),,90216.0,120062.0,60024.0,270302.0,270302.0,2.9962,2.9962,1.4999,-,387.0,233.0
Promising Young Woman,2020,Promising-Young-Woman-(2020),,256800.0,262785.0,199720.0,719305.0,719305.0,2.801,2.801,1.76,-,1310.0,196.0
True to the Game 2,2020,True-to-the-Game-2-(2020),,,,,,,,,,,,
Peninsula,2020,Peninsula-(2020),,,,,,,,,,,,
The Assistant,2020,The-Assistant-(2020),,,,,,,,,,,,
Relic,2020,Relic-(2020),,,,,,,,,,,,
The Tax Collector,2020,The-Tax-Collector-(2020),,,,,,,,,,,,
The Last Shift,2020,The-Last-Shift-(2020),,,,,,,,,,,,
Becky,2020,Becky-(2020),,67641.0,90542.0,47614.0,205797.0,205797.0,3.0425,3.0425,1.5259,-,45.0,1503.0
The Song of Names,2020,The-Song-of-Names-(2020),,,,,,,,,,,,
All My Life,2020,All-My-Life-(2020),,141710.0,146815.0,81790.0,370315.0,370315.0,2.6132,2.6132,1.5571,4,970.0,146.0
Mafia Inc,2020,Mafia-Inc-(2020),,,,,,,,,,,,
National Lampoon's Christmas Vacation,2020,National-Lampoons-Christmas-Vacation-(2020),,,,,,,,,,,,
Jay and Silent Bob Reboot,2020,Jay-and-Silent-Bob-Reboot-(2020),,691418.0,319887.0,,,,,,,5,877.0,691418.0
A Hidden Life,2020,A-Hidden-Life-(2020),,,,,,,,,,,,
Cut Throat City,2020,Cut-Throat-City-(2020),,8132.0,,,,,,,,-,25.0,325.0
The Goonies,2020,The-Goonies-(2020),,,,,,,,,,,,
Sarileru Neekevvaru,2020,Sarileru-Neekevvaru-(2020),,,,,,,,,,,,
21 Bridges,2020,21-Bridges-(2020),,,,,,,,,,,,
Vanguard,2020,Vanguard-(2020),,,,,,,,,,,,
Jaws,2020,Jaws-(2020),,,,,,,,,,,,
After We Collided,2020,After-We-Collided-(2020),,206101.0,138088.0,78710.0,422899.0,422899.0,2.0519,2.0519,1.57,-,460.0,448.0
Possessor,2020,Possessor-(2020),,,,,,,,,,,,
Coco,2020,Coco-(2020),,,,,,,,,,,,
Toy Story,2020,Toy-Story-(2020),,161000.0,233000.0,111000.0,505000.0,505000.0,3.1366,3.1366,1.4764,-,2102.0,77.0
Baaghi 3,2020,Baaghi-3-(2020),,,,,,,,,,,,
"Monsters, Inc.",2020,Monsters-Inc-(2020),,17390000.0,26270000.0,18140000.0,61800000.0,61800000.0,3.5538,3.5538,1.6905,1,3237.0,5372.0
The Santa Clause,2020,The-Santa-Clause-(2020),,,,,,,,,,,,
Pain and Glory,2020,Pain-and-Glory-(2020),,,,,,,,,,,,
The Polar Express,2020,The-Polar-Express-(2020),,,,,,,,,,,,
The Last Vermeer,2020,The-Last-Vermeer-(2020),,,,,,,,,,,,
The Addams Family,2020,The-Addams-Family-(2020),,,,,,,,,,,,
Merci pour tout,2020,Merci-pour-tout-(2020),,,,,,,,,,,,
Maleficent: Mistress of Evil,2020,Maleficent-Mistress-of-Evil-(2020),,,,,,,,,,,,
Ghostbusters,2020,Ghostbusters-(2020),,,,,,,,,,,,
Chhapaak,2020,Chhapaak-(2020),,,,,,,,,,,,
Shortcut,2020,Shortcut-(2020),,,,,,,,,,,,
Panga,2020,Panga-(2020),,,,,,,,,,,,
Midway,2020,Midway-(2020),,,,,,,,,,,,
Black Christmas,2020,Black-Christmas-(2020),,3307602.0,1763413.0,1149644.0,6220659.0,6220659.0,1.8807,1.8807,1.6519,6,1278.0,2588.0
Synchronic,2020,Synchronic-(2020),,,,,,,,,,,,
Color Out of Space,2020,Color-Out-of-Space-(2020),,,,,,,,,,,,
Guardians of the Galaxy,2020,Guardians-of-the-Galaxy-(2020),11200000.0,37845336.0,30989857.0,25485690.0,105520883.0,94320883.0,2.7882,2.4923,1.8224,1,4080.0,9276.0
Followed,2020,Followed-(2020),,57963.0,66232.0,28630.0,152825.0,152825.0,2.6366,2.6366,1.4323,-,44.0,1317.0
Alone,2020,Alone-(2020),,,,,,,,,,,,
Harriet,2020,Harriet-(2020),,,,,,,,,,,,
Kajillionaire,2020,Kajillionaire-(2020),,88310.0,77900.0,49465.0,215675.0,215675.0,2.4422,2.4422,1.635,-,529.0,167.0
The Addams Family,2020,The-Addams-Family-(2020),,,,,,,,,,,,
The Big Ugly,2020,The-Big-Ugly-(2020),,,,,,,,,,,,
The Grinch,2020,The-Grinch-(2020),,,,,,,,,,,,
The Call,2020,The-Call-(2020),,,,,,,,,,,,
Spell,2020,Spell-(2020),,71434.0,89321.0,45836.0,206591.0,206591.0,2.8921,2.8921,1.5132,-,369.0,194.0
Ava,2020,Ava-(2020),,68652.0,64499.0,37198.0,170349.0,170349.0,2.4813,2.4813,1.5767,-,222.0,309.0
The Forgotten Carols,2020,The-Forgotten-Carols-(2020),,,,,,,,,,,,
Dark Waters,2020,Dark-Waters-(2020),,38324.0,38674.0,25608.0,102606.0,102606.0,2.6773,2.6773,1.6622,-,4.0,9581.0
Pinocchio,2020,Pinocchio-(2020),,,,,,,,,,,,
Beauty and the Beast,2020,Beauty-and-the-Beast-(2020),,,,,,,,,,,,
Once Were Brothers,2020,Once-Were-Brothers-(2020),,,,,,,,,,,,
Seberg,2020,Seberg-(2020),,,,,,,,,,,,
Infamous,2020,Infamous-(2020),,58175.0,71973.0,30223.0,160371.0,160371.0,2.7567,2.7567,1.4199,-,58.0,1003.0
Iron Man,2020,Iron-Man-(2020),,38734361.0,37350099.0,26034208.0,102118668.0,102118668.0,2.6364,2.6364,1.697,1,4105.0,9436.0
Fantastic Fungi,2020,Fantastic-Fungi-(2020),,67096.0,,,,,,,,-,17.0,3947.0
Stevie Nicks 24 Karat Gold the Concert,2020,Stevie-Nicks-24-Karat-Gold-the-Concert-(2020),,,,,,,,,,,,
Tulsa,2020,Tulsa-(2020),,28424.0,28662.0,21306.0,78392.0,78392.0,2.758,2.758,1.7434,-,191.0,149.0
Buddy Games,2020,Buddy-Games-(2020),,54987.0,60465.0,35045.0,150497.0,150497.0,2.737,2.737,1.5796,-,401.0,137.0
Black Panther,2020,Black-Panther-(2020),,,,,,,,,,,,
The Kid Detective,2020,The-Kid-Detective-(2020),,,,,,,,,,,,
She Dies Tomorrow,2020,She-Dies-Tomorrow-(2020),,,,,,,,,,,,
Greed,2020,Greed-(2020),,,,,,,,,,,,
Yellow Rose,2020,Yellow-Rose-(2020),,,,,,,,,,,,
Ride Your Wave,2020,Ride-Your-Wave-(2020),,,,,,,,,,,,
The Eight Hundred,2020,The-Eight-Hundred-(2020),,,,,,,,,,,,
Die Hard,2020,Die-Hard-(2020),,,,,,,,,,,,
Clemency,2020,Clemency-(2020),,,,,,,,,,,,
Les Misérables,2020,Les-Misérables-(2020),,,,,,,,,,,,
Ordinary Love,2020,Ordinary-Love-(2020),,,,,,,,,,,,
Casper,2020,Casper-(2020),,,,,,,,,,,,
The Informer,2020,The-Informer-(2020),,,,,,,,,,,,
Playing with Fire,2020,Playing-with-Fire-(2020),,,,,,,,,,,,
Save Yourselves!,2020,Save-Yourselves-(2020),,48657.0,58966.0,35071.0,142694.0,142694.0,2.9327,2.9327,1.5948,-,388.0,125.0
Judy,2020,Judy-(2020),,,,,,,,,,,,
The Traitor,2020,The-Traitor-(2020),,,,,,,,,,,,
Gremlins,2020,Gremlins-(2020),,,,,,,,,,,,
Created Equal: Clarence Thomas in His Own Words,2020,Created-Equal-Clarence-Thomas-in-His-Own-Words-(2020),,,,,,,,,,,,
Fatman,2020,Fatman-(2020),,,,,,,,,,,,
An American in Paris,2020,An-American-in-Paris-(2020),,,,,,,,,,,,
Wonder Woman,2020,Wonder-Woman-(2020),,,,,,,,,,,,
Back to the Future,2020,Back-to-the-Future-(2020),,,,,,,,,,,,
Bohemian Rhapsody,2020,Bohemian-Rhapsody-(2020),,,,,,,,,,,,
63 Up,2020,63-Up-(2020),,,,,,,,,,,,
Tokyo Godfathers,2020,Tokyo-Godfathers-(2020),,7868.0,131297.0,100461.0,239626.0,239626.0,30.4558,30.4558,1.7651,49,8.0,984.0
The Climb,2020,The-Climb-(2020),,,,,,,,,,,,
Doctor Who Live Q&A And Screening,2020,Doctor-Who-Live-QandA-And-Screening-(2020),,,,,,,,,,,,
CatVideoFest 2020,2020,CatVideoFest-2020-(2020),,,,,,,,,,,,
Wild Mountain Thyme,2020,Wild-Mountain-Thyme-(2020),,37030.0,36623.0,21336.0,94989.0,94989.0,2.5652,2.5652,1.5826,-,450.0,82.0
The Secrets We Keep,2020,The-Secrets-We-Keep-(2020),,,,,,,,,,,,
Ashfall,2020,Ashfall-(2020),,,,,,,,,,,,
Zombieland: Double Tap,2020,Zombieland-Double-Tap-(2020),,,,,,,,,,,,
Fate/stay night [Heaven's Feel] III. spring song,2020,Fate/stay-night-[Heavens-Feel]-III-spring-song-(2020),,,,,,,,,,,,
The Doors: Break On Thru - A Celebration Of Ray Manzarek,2020,The-Doors-Break-On-Thru-A-Celebration-Of-Ray-Manzarek-(2020),,,,,,,,,,,,
Cunningham,2020,Cunningham-(2020),,,,,,,,,,,,
The Outpost,2020,The-Outpost-(2020),,,,,,,,,,,,
The Wolf of Snow Hollow,2020,The-Wolf-of-Snow-Hollow-(2020),,,,,,,,,,,,
Come Away,2020,Come-Away-(2020),,30330.0,47885.0,27869.0,106084.0,106084.0,3.4977,3.4977,1.582,-,475.0,64.0
The Good Liar,2020,The-Good-Liar-(2020),,,,,,,,,,,,
And Then We Danced,2020,And-Then-We-Danced-(2020),,,,,,,,,,,,
Follow Me,2020,Follow-Me-(2020),,32338.0,32828.0,14016.0,79182.0,79182.0,2.4486,2.4486,1.427,-,45.0,719.0
Beanpole,2020,Beanpole-(2020),,,,,,,,,,,,
Extra Ordinary,2020,Extra-Ordinary-(2020),,,,,,,,,,,,
Palm Springs,2020,Palm-Springs-(2020),,,,,,,,,,,,
A Call to Spy,2020,A-Call-to-Spy-(2020),,,,,,,,,,,,
Love Story,2020,Love-Story-(2020),,,,,,,,,,,,
