date,rank,title,gross,theaters,total_gross_to_date,days_in_release,is_opening_day
2020-01-01,1,Star Wars: The Rise of Skywalker,17076472.0,4406.0,407782706.0,13,0
2020-01-01,2,Jumanji: The Next Level,10909345.0,4227.0,203003881.0,20,0
2020-01-01,3,Little Women,5242720.0,3308.0,42835847.0,8,0
2020-01-01,4,Frozen II,5029104.0,3265.0,435173786.0,41,0
2020-01-01,5,Spies in Disguise,4397815.0,3502.0,33721503.0,8,0
2020-01-01,6,Knives Out,3490264.0,2022.0,119201843.0,36,0
2020-01-01,7,Uncut Gems,3111105.0,2348.0,27344929.0,20,0
2020-01-01,8,Bombshell,1532318.0,1480.0,19650203.0,20,0
2020-01-01,9,Cats,1276515.0,3380.0,21246610.0,13,0
2020-01-01,10,Richard Jewell,1121816.0,2502.0,18944033.0,20,0
2020-01-01,11,Ford v. Ferrari,678898.0,793.0,107875342.0,48,0
2020-01-01,12,A Beautiful Day in the Neighborhood,565638.0,1014.0,57272631.0,41,0
2020-01-01,13,Queen & Slim,507450.0,699.0,41226395.0,36,0
2020-01-01,-,Parasite,232471.0,170.0,22866156.0,83,0
2020-01-01,-,Black Christmas,218475.0,1514.0,10086145.0,20,0
2020-01-01,-,1917,217029.0,11.0,1543207.0,8,0
2020-01-01,-,Jojo Rabbit,106689.0,208.0,21166415.0,76,0
2020-01-01,-,A Hidden Life,87256.0,118.0,964806.0,20,0
2020-01-01,-,21 Bridges,85026.0,229.0,27832295.0,41,0
2020-01-01,-,Dark Waters,72250.0,140.0,10706129.0,41,0
2020-01-01,-,Playing with Fire,63478.0,188.0,44214865.0,55,0
2020-01-01,-,Maleficent: Mistress of Evil,59640.0,155.0,113354377.0,76,0
2020-01-01,-,Midway,58532.0,142.0,56337696.0,55,0
2020-01-01,-,Harriet,48190.0,112.0,42595890.0,62,0
2020-01-01,-,Joker,46954.0,120.0,333819465.0,90,0
2020-01-01,-,Just Mercy,38600.0,4.0,306481.0,8,0
2020-01-01,-,The Good Liar,26778.0,93.0,17000057.0,48,0
2020-01-01,-,Zombieland: Double Tap,23064.0,90.0,72953220.0,76,0
2020-01-01,-,Abominable,22055.0,119.0,60701320.0,97,0
2020-01-01,-,Last Christmas,22050.0,154.0,35138500.0,55,0
2020-01-01,-,Honey Boy,10209.0,34.0,2950201.0,55,0
2020-01-01,-,The Lighthouse,9628.0,21.0,10782152.0,76,0
2020-01-01,-,Charlie’s Angels,8838.0,67.0,17765238.0,48,0
2020-01-01,-,Doctor Sleep,8496.0,63.0,31551593.0,55,0
2020-01-01,-,Countdown,6624.0,27.0,25600993.0,69,0
2020-01-01,-,Waves,6562.0,20.0,1603108.0,48,0
2020-01-01,-,Once Upon a Time…in Hollywood,4801.0,12.0,141081769.0,160,0
2020-01-01,-,No Safe Spaces,4270.0,14.0,1163629.0,69,0
2020-01-01,-,Clemency,3736.0,2.0,44392.0,6,0
2020-01-01,-,Judy,2605.0,22.0,24021124.0,97,0
2020-01-01,-,Invisible Life,2248.0,2.0,26467.0,13,0
2020-01-01,-,En Brazos de un Asesino,2006.0,18.0,424337.0,27,0
2020-01-01,-,PLAYMOBIL,1420.0,25.0,1105903.0,27,0
2020-01-01,-,The Kingmaker,992.0,6.0,110940.0,55,0
2020-01-01,-,Hustlers,708.0,3.0,104961351.0,111,0
2020-01-01,-,Linda Ronstadt: The Sound of My Voice,535.0,3.0,4241044.0,118,0
2020-01-01,-,Midnight Family,398.0,2.0,15935.0,27,0
2020-01-03,1,Star Wars: The Rise of Skywalker,11038440.0,4406.0,428095881.0,15,0
2020-01-03,2,Jumanji: The Next Level,8690304.0,4134.0,218396709.0,22,0
2020-01-03,3,The Grudge,5355614.0,2642.0,5355614.0,1,1
2020-01-03,4,Little Women,4411633.0,3308.0,50859965.0,10,0
2020-01-03,5,Frozen II,3965830.0,3175.0,442551194.0,43,0
2020-01-03,6,Spies in Disguise,3598078.0,3502.0,40244039.0,10,0
2020-01-03,7,Knives Out,2930013.0,2142.0,124133047.0,38,0
2020-01-03,8,Uncut Gems,2524840.0,2686.0,31511019.0,22,0
2020-01-03,9,Bombshell,1341019.0,1721.0,21846935.0,22,0
2020-01-03,10,Cats,859575.0,2902.0,22950510.0,15,0
2020-01-03,11,Ford v. Ferrari,562844.0,730.0,108832684.0,50,0
2020-01-03,12,Richard Jewell,556235.0,1870.0,19994551.0,22,0
2020-01-03,13,A Beautiful Day in the Neighborhood,385026.0,856.0,57963691.0,43,0
2020-01-03,14,Queen & Slim,379305.0,625.0,41874075.0,38,0
2020-01-03,-,Parasite,247250.0,222.0,23259863.0,85,0
2020-01-03,-,1917,190403.0,11.0,1880270.0,10,0
2020-01-03,-,21 Bridges,122753.0,476.0,27996191.0,43,0
2020-01-03,-,Jojo Rabbit,106538.0,209.0,21341352.0,78,0
2020-01-03,-,A Hidden Life,78063.0,151.0,1090892.0,22,0
2020-01-03,-,Black Christmas,66620.0,440.0,10248035.0,22,0
2020-01-03,-,Midway,58911.0,197.0,56429971.0,57,0
2020-01-03,-,Dark Waters,57210.0,133.0,10798844.0,43,0
2020-01-03,-,Playing with Fire,51037.0,156.0,44306268.0,57,0
2020-01-03,-,Maleficent: Mistress of Evil,46477.0,148.0,113438643.0,78,0
2020-01-03,-,Joker,44198.0,120.0,333901168.0,92,0
2020-01-03,-,Harriet,41820.0,124.0,42664710.0,64,0
2020-01-03,-,The Good Liar,23050.0,93.0,17039424.0,50,0
2020-01-03,-,Just Mercy,21498.0,4.0,345231.0,10,0
2020-01-03,-,No Safe Spaces,21114.0,69.0,1186941.0,71,0
2020-01-03,-,Zombieland: Double Tap,19765.0,86.0,72986957.0,78,0
2020-01-03,-,Clemency,9603.0,9.0,56143.0,8,0
2020-01-03,-,Honey Boy,7657.0,23.0,2965710.0,57,0
2020-01-03,-,Once Upon a Time…in Hollywood,7654.0,12.0,141090083.0,162,0
2020-01-03,-,Invisible Life,6364.0,13.0,34102.0,15,0
2020-01-03,-,Charlie’s Angels,6171.0,55.0,17777539.0,50,0
2020-01-03,-,The Lighthouse,6134.0,21.0,10797271.0,78,0
2020-01-03,-,Doctor Sleep,5648.0,63.0,31562549.0,57,0
2020-01-03,-,Waves,5206.0,22.0,1614975.0,50,0
2020-01-03,-,Countdown,4287.0,27.0,25609078.0,71,0
2020-01-03,-,PLAYMOBIL,2212.0,25.0,1109649.0,29,0
2020-01-03,-,Midnight Family,1725.0,7.0,18303.0,29,0
2020-01-03,-,Judy,1214.0,20.0,24024275.0,99,0
2020-01-03,-,The Kingmaker,1108.0,6.0,112930.0,57,0
2020-01-03,-,Hustlers,426.0,3.0,104962064.0,113,0
2020-01-03,-,Linda Ronstadt: The Sound of My Voice,393.0,4.0,4241980.0,120,0
2020-01-05,1,Star Wars: The Rise of Skywalker,9166472.0,4406.0,451582256.0,17,0
2020-01-05,2,Jumanji: The Next Level,6717118.0,4134.0,235933751.0,24,0
2020-01-05,3,Little Women,3732159.0,3308.0,60060705.0,12,0
2020-01-05,4,Frozen II,3100830.0,3175.0,450439533.0,45,0
2020-01-05,5,Spies in Disguise,2579860.0,3502.0,47042421.0,12,0
2020-01-05,6,The Grudge,2213102.0,2642.0,11404113.0,3,0
2020-01-05,7,Knives Out,2212072.0,2142.0,130119450.0,40,0
2020-01-05,8,Uncut Gems,1926490.0,2686.0,36556384.0,24,0
