title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url,opening_weekend,opening_theaters,budget,mpaa_rating,runtime_min,distributor,title_norm,rt_slug,wayback_timestamp,rt_score_prerelease,rt_reviews_prerelease,rt_audience_prerelease,rt_score_final,rt_reviews_final,rt_audience_final,release_dt,release_month,release_dow,release_year,is_holiday_weekend,is_summer,is_awards_season,is_spring_break,is_sequel,distributor_group,mpaa_ordinal,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Musical,genre_Romance,genre_Sci-Fi,genre_Thriller,primary_genre,budget_known,log_budget,rt_score_delta,log_rt_reviews_release,log_opening_weekend,log_total_gross,dist_A24,dist_Amazon,dist_Disney,dist_Lionsgate,dist_Netflix,dist_Other,dist_Paramount,dist_Sony,dist_Universal,dist_WB,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
Bad Boys for Life,2020,2020-01-17,206305244.0,3775.0,Action Comedy Crime Thriller,,https://www.boxofficemojo.com/release/rl1182631425/?ref_=bo_yld_table_1,62504105.0,3775.0,90000000.0,R,124.0,Sony Pictures Releasing,bad boys for life,bad_boys_for_life,20200116205239.0,76.0,99.0,,76.0,269.0,96.0,2020-01-17,1.0,4.0,2020.0,1,0,0,0,0,Sony,4,1,0,0,1,1,0,0,0,0,0,0,0,1,Action Comedy Crime Thriller,1,18.31532023940565,0.0,4.605170185988092,17.950742808548743,19.144867401857894,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1917,2020,Dec 25,159227644.0,3987.0,Drama War,,https://www.boxofficemojo.com/release/rl2969994753/?ref_=bo_yld_table_2,576216.0,11.0,95000000.0,R,119.0,Universal Pictures,1917,1917_2019,,,,,88.0,474.0,88.0,,,,2020.0,0,0,0,0,0,Universal,4,0,0,0,0,0,1,0,0,0,0,0,0,0,Drama War,1,18.36938746009113,,0.0,13.26423960484191,18.885845465796717,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sonic the Hedgehog,2020,2020-02-14,148974665.0,4198.0,Action Adventure Comedy Family Fantasy Sci-Fi,,https://www.boxofficemojo.com/release/rl4244997633/?ref_=bo_yld_table_3,58018348.0,4167.0,85000000.0,PG,99.0,Paramount Pictures,sonic the hedgehog,sonic_the_hedgehog,,,,,78.0,349.0,78.0,2020-02-14,2.0,4.0,2020.0,1,0,0,0,0,Paramount,2,1,1,0,1,0,0,1,1,0,0,0,1,0,Action Adventure Comedy Family Fantasy Sci-Fi,1,18.258161826219297,,0.0,17.87626988054773,18.819286822607893,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Jumanji: The Next Level,2020,2019-12-13,320314960.0,4227.0,Action Adventure Comedy Fantasy,,https://www.boxofficemojo.com/release/rl755467777/?ref_=bo_yld_table_4,59251543.0,4227.0,125000000.0,PG,123.0,Sony Pictures Releasing,jumanji the next level,jumanji_the_next_level,20191212223232.0,67.0,110.0,,72.0,248.0,87.0,2019-12-13,12.0,4.0,2019.0,0,0,1,0,1,Sony,2,1,1,0,1,0,0,0,1,0,0,0,0,0,Action Adventure Comedy Fantasy,1,18.643824303266577,5.0,4.709530201312334,17.897302396711712,19.584815322823538,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Star Wars: Episode IX - The Rise of Skywalker,2020,2019-12-20,515202542.0,4406.0,Action Adventure Fantasy Sci-Fi,,https://www.boxofficemojo.com/release/rl3305145857/?ref_=bo_yld_table_5,177383864.0,4406.0,275000000.0,PG,141.0,Walt Disney Studios Motion Pictures,star wars episode ix  the rise of skywalker,,,,,,,,,2019-12-20,12.0,4.0,2019.0,1,0,1,0,1,Disney,2,1,1,0,0,0,0,0,1,0,0,0,1,0,Action Adventure Fantasy Sci-Fi,1,19.432281659267208,,0.0,18.99382667105393,20.06007066868944,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,2020-02-07,84158461.0,4236.0,Action Comedy Crime,,https://www.boxofficemojo.com/release/rl3640886785/?ref_=bo_yld_table_6,33010017.0,4236.0,84500000.0,R,109.0,Warner Bros.,birds of prey and the fantabulous emancipation of one harley quinn,birds_of_prey_2020,20200206222719.0,87.0,138.0,,79.0,449.0,78.0,2020-02-07,2.0,4.0,2020.0,0,0,0,0,0,WB,4,1,0,0,1,1,0,0,0,0,0,0,0,0,Action Comedy Crime,1,18.252262104161723,-8.0,4.9344739331306915,17.312321649118534,18.24821203207186,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Dolittle,2020,2020-01-17,77047065.0,4155.0,Adventure Comedy Family Fantasy,,https://www.boxofficemojo.com/release/rl2164295169/?ref_=bo_yld_table_7,21844045.0,4155.0,175000000.0,PG,101.0,Universal Pictures,dolittle,dolittle,20200116010808.0,,,,15.0,240.0,76.0,2020-01-17,1.0,4.0,2020.0,1,0,0,0,0,Universal,2,0,1,0,1,0,0,1,1,0,0,0,0,0,Adventure Comedy Family Fantasy,1,18.980296537602072,,0.0,16.899438948093383,18.159927039836,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Little Women,2020,2019-12-25,108101214.0,3308.0,Drama Romance,,https://www.boxofficemojo.com/release/rl218596865/?ref_=bo_yld_table_8,16755310.0,3308.0,40000000.0,PG,135.0,Sony Pictures Releasing,little women,,,,,,,,,2019-12-25,12.0,2.0,2019.0,1,0,1,0,0,Sony,2,0,0,0,0,0,1,0,0,0,0,1,0,0,Drama Romance,1,17.50439003707821,,0.0,16.634225840604678,18.498578522139244,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
The Invisible Man,2020,2020-02-28,70410000.0,3636.0,Drama Horror Mystery Sci-Fi Thriller,,https://www.boxofficemojo.com/release/rl50628097/?ref_=bo_yld_table_9,28205665.0,3610.0,7000000.0,R,124.0,Universal Pictures,the invisible man,the_invisible_man_2020,20200227004712.0,90.0,71.0,,91.0,422.0,88.0,2020-02-28,2.0,4.0,2020.0,0,0,0,0,0,Universal,4,0,0,0,0,0,1,0,0,1,0,0,1,1,Drama Horror Mystery Sci-Fi Thriller,1,15.76142084987672,1.0,4.276666119016055,17.15503343771204,18.069845870697844,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
The Call of the Wild,2020,2020-02-21,62342368.0,3914.0,Adventure Drama Family,,https://www.boxofficemojo.com/release/rl2533524993/?ref_=bo_yld_table_10,24791624.0,3752.0,135000000.0,PG,100.0,20th Century Studios,the call of the wild,the_call_of_the_wild_2020,,,,,63.0,212.0,89.0,2020-02-21,2.0,4.0,2020.0,1,0,0,0,0,Disney,2,0,1,0,0,0,1,1,0,0,0,0,0,0,Adventure Drama Family,1,18.72078534381011,,0.0,17.026016452488278,17.94815183286472,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
