title,opening_date,thu_preview,fri,sat,sun,weekend_total,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_sun_ratio,opening_theaters
100 Meters,2025-10-10,,207.0,265.0,61659.0,62131.0,62131.0,300.1498,300.1498,232.6755,1.0
100 Nights of Hero,2025-12-05,,192245.0,29995.0,28461.0,250701.0,250701.0,1.3041,1.3041,0.9489,828.0
1982,2022-06-10,,1304.0,2151.0,1445.0,4900.0,4900.0,3.7577,3.7577,0.6718,1.0
1992,2024-08-30,,461069.0,481377.0,476459.0,1418905.0,1418905.0,3.0774,3.0774,0.9898,875.0
2 Hearts,2020-10-16,,196029.0,209494.0,117414.0,522937.0,522937.0,2.6677,2.6677,0.5605,1683.0
2000 Mules,2022-05-20,,299415.0,255189.0,197151.0,751755.0,751755.0,2.5107,2.5107,0.7726,415.0
2026 Oscar Shorts,2026-02-20,,259544.0,420889.0,314480.0,994913.0,994913.0,3.8333,3.8333,0.7472,356.0
2073,2024-12-27,,3998.0,617.0,463.0,5078.0,5078.0,1.2701,1.2701,0.7504,2.0
28 Years Later,2025-06-20,,14473891.0,9138067.0,6391008.0,30002966.0,30002966.0,2.0729,2.0729,0.6994,3444.0
28 Years Later: The Bone Temple,2026-01-16,,5596864.0,3913350.0,3011113.0,12521327.0,12521327.0,2.2372,2.2372,0.7694,3506.0
2nd Chance,2022-12-02,,1273.0,3163.0,831.0,5267.0,5267.0,4.1375,4.1375,0.2627,5.0
50 km/h,2024-07-19,,84.0,175.0,52.0,311.0,311.0,3.7024,3.7024,0.2971,10.0
65,2023-03-10,,4446084.0,4777479.0,3104798.0,12328361.0,12328361.0,2.7729,2.7729,0.6499,3405.0
80 for Brady,2023-02-03,,4625369.0,4480357.0,3595914.0,12701640.0,12701640.0,2.7461,2.7461,0.8026,3912.0
A Banquet,2022-02-18,,729.0,977.0,935.0,2641.0,2641.0,3.6228,3.6228,0.957,33.0
A Big Bold Beautiful Journey,2025-09-19,,1371945.0,1165242.0,715391.0,3252578.0,3252578.0,2.3708,2.3708,0.6139,3330.0
A Call to Spy,2020-10-02,,15015.0,13063.0,7020.0,35098.0,35098.0,2.3375,2.3375,0.5374,75.0
A Chiara,2022-05-27,,1227.0,1973.0,1177.0,4377.0,4377.0,3.5672,3.5672,0.5966,2.0
A Complete Unknown,2024-12-25,,7201242.0,4372801.0,3941204.0,15515247.0,15515247.0,2.1545,2.1545,0.9013,2835.0
A Different Man,2024-09-20,,21428.0,19504.0,8534.0,49466.0,49466.0,2.3085,2.3085,0.4376,4.0
A Father’s Heart,2023-05-01,,351457.0,96455.0,,447912.0,447912.0,1.2744,1.2744,,741.0
A Fragile Flower,2024-03-29,,38000.0,17500.0,28000.0,83500.0,83500.0,2.1974,2.1974,1.6,55.0
A Good Person,2023-03-24,,281207.0,341423.0,209377.0,832007.0,832007.0,2.9587,2.9587,0.6132,530.0
A Great Awakening,2026-04-03,,892681.0,698246.0,450401.0,2041328.0,2041328.0,2.2867,2.2867,0.645,1289.0
A Haunting in Venice,2023-09-15,,5542594.0,5394011.0,3342924.0,14279529.0,14279529.0,2.5763,2.5763,0.6197,3305.0
A Journal for Jordan,2021-12-25,,1376032.0,825854.0,363437.0,2565323.0,2565323.0,1.8643,1.8643,0.4401,2500.0
A Little Family Drama,2024-10-11,,1375.0,1725.0,1750.0,4850.0,4850.0,3.5273,3.5273,1.0145,10.0
A Little Something Extra,2026-04-17,,4859.0,6492.0,5440.0,16791.0,16791.0,3.4556,3.4556,0.838,201.0
A Love Song,2022-07-29,,6367.0,7476.0,2203.0,16046.0,16046.0,2.5202,2.5202,0.2947,4.0
A Magnificent Life,2026-03-27,,26163.0,25983.0,23495.0,75641.0,75641.0,2.8911,2.8911,0.9042,334.0
A Man Called Otto,2022-12-30,,22790.0,16509.0,16958.0,56257.0,56257.0,2.4685,2.4685,1.0272,4.0
A Mermaid in Paris,2020-10-16,,336.0,469.0,397.0,1202.0,1202.0,3.5774,3.5774,0.8465,10.0
A Minecraft Movie,2025-04-04,,57113324.0,59409839.0,46229840.0,162753003.0,162753003.0,2.8497,2.8497,0.7782,4263.0
A Mouthful of Air,2021-10-29,,46925.0,49370.0,34406.0,130701.0,130701.0,2.7853,2.7853,0.6969,816.0
A Poet,2026-01-30,,9043.0,9979.0,8732.0,27754.0,27754.0,3.0691,3.0691,0.875,2.0
A Private Life,2026-01-16,,28299.0,21659.0,16954.0,66912.0,66912.0,2.3645,2.3645,0.7828,5.0
A Quiet Place: Day One,2024-06-28,,22528071.0,17011713.0,12662711.0,52202495.0,52202495.0,2.3172,2.3172,0.7444,3708.0
A Quiet Place: Part II,2021-05-28,,19368427.0,15137669.0,13041135.0,47547231.0,47547231.0,2.4549,2.4549,0.8615,3726.0
A Real Pain,2024-11-01,,88393.0,88482.0,51981.0,228856.0,228856.0,2.5891,2.5891,0.5875,4.0
A Rescue of Little Eggs,2021-08-27,,125346.0,152966.0,149722.0,428034.0,428034.0,3.4148,3.4148,0.9788,320.0
A Thousand and One,2023-03-31,,703495.0,650335.0,441865.0,1795695.0,1795695.0,2.5525,2.5525,0.6794,926.0
A Working Man,2025-03-28,,5614213.0,5832462.0,4063637.0,15510312.0,15510312.0,2.7627,2.7627,0.6967,3262.0
ADA: My Mother the Architect,2025-05-09,,6725.0,1869.0,3203.0,11797.0,11797.0,1.7542,1.7542,1.7138,1.0
AIR,2023-04-05,,3294826.0,2453028.0,5020264.0,10768118.0,10768118.0,3.2682,3.2682,2.0466,3507.0
AUM: The Cult at the End of the World,2025-03-19,,1659.0,888.0,1567.0,4114.0,4114.0,2.4798,2.4798,1.7646,1.0
Abandoned,2022-06-17,,21149.0,23443.0,15169.0,59761.0,59761.0,2.8257,2.8257,0.6471,54.0
Abigail,2024-04-19,,4033895.0,3768955.0,2494260.0,10297110.0,10297110.0,2.5526,2.5526,0.6618,3384.0
About Fate,2022-09-09,,1767.0,2607.0,1724.0,6098.0,6098.0,3.451,3.451,0.6613,13.0
About My Father,2023-05-26,,1464923.0,1458036.0,1398189.0,4321148.0,4321148.0,2.9497,2.9497,0.959,2464.0
Abraham’s Boys: A Dracula Story,2025-07-11,,58859.0,41401.0,30782.0,131042.0,131042.0,2.2264,2.2264,0.7435,470.0
Absolution,2024-11-01,,467593.0,563206.0,350893.0,1381692.0,1381692.0,2.9549,2.9549,0.623,1500.0
Accidental Texan,2024-03-08,,50202.0,54662.0,32835.0,137699.0,137699.0,2.7429,2.7429,0.6007,134.0
Afraid,2024-08-30,,1309482.0,1225529.0,1130653.0,3665664.0,3665664.0,2.7993,2.7993,0.9226,3003.0
After Death,2023-10-27,,2203285.0,1568485.0,1280180.0,5051950.0,5051950.0,2.2929,2.2929,0.8162,2645.0
After Ever Happy,2022-09-07,,555056.0,395645.0,38387.0,989088.0,989088.0,1.782,1.782,0.097,1144.0
