detected_at,trade_timestamp,wallet,display_name,side,outcome,title,event_slug,size_tokens,price,usdc_value,trade_count,account_age_days,is_rookie,is_new,is_insider_signal,polymarket_url,tx_hash
2026-02-25T06:02:03.604242+00:00,1771997558,0x68fe494c5ca794f3f247f4ec2a8bf95e3ef28792,yameteV9,BUY,Yes,Will Trump nominate Kevin Warsh as the next Fed chair?,who-will-trump-nominate-as-fed-chair,31746.031745,0.9449999999992125,30000.00,200,591,False,False,False,https://polymarket.com/event/who-will-trump-nominate-as-fed-chair,0xbd8f22a373721b2703b60a254de6521502eb62c5ed6e5225fc65907a6ebe7515
2026-02-25T06:02:04.107091+00:00,1771997538,0x68fe494c5ca794f3f247f4ec2a8bf95e3ef28792,yameteV9,BUY,Yes,Will Trump nominate Kevin Warsh as the next Fed chair?,who-will-trump-nominate-as-fed-chair,74162.613109,0.9438718117323883,70000.00,200,591,False,False,False,https://polymarket.com/event/who-will-trump-nominate-as-fed-chair,0xe719ab06092bf7bba5b9972669b106823ee21b5bf781f804951d7bff6cc44f5b
2026-02-25T06:02:07.507713+00:00,1771996988,0x86cd93526a4e7ad201ed3d1c6f2647b61837504c,IlIIllIIIllIIl,BUY,No,"US strikes Iran by February 26, 2026?",us-strikes-iran-by,37724.7,0.96,36215.71,200,61,False,False,False,https://polymarket.com/event/us-strikes-iran-by,0xdb55d056230ffcd01b3bf67fcb06b74b9c8ee2036315a5f9af078bc4f5986b96
2026-02-25T06:02:08.708616+00:00,1771996772,0x9c5e99746faad55a59ecee3bb58cc026669e3aeb,dfhgdhfthrfhr,BUY,No,"US strikes Iran by February 28, 2026?",us-strikes-iran-by,58691.18,0.89,52235.15,9,0,True,True,True,https://polymarket.com/event/us-strikes-iran-by,0xf6c46bdd0afba8f636495220eea35ac4ba7893f89f6591ae27572a2f84e07faf
2026-02-25T06:02:10.569818+00:00,1771996724,0xead152b855effa6b5b5837f53b24c0756830c76a,elkmonkey,BUY,Cavaliers,Cavaliers vs. Bucks,nba-cle-mil-2026-02-25,44962,0.76,34171.12,200,414,False,False,False,https://polymarket.com/event/nba-cle-mil-2026-02-25,0x6b1da8ef686423134922f4f5896f0bb52502097203f030e3f5fc1cb529ffa284
2026-02-25T06:02:11.887456+00:00,1771996318,0x94d6f6119c9d2897719e59e4ced31a212e749ab8,devin.lawson.77,BUY,No,"US strikes Iran by February 25, 2026?",us-strikes-iran-by,38597.64,0.9841319702448129,37985.17,200,415,False,False,False,https://polymarket.com/event/us-strikes-iran-by,0x082410b8822ba256c3ff192d28957090513a382266a9e2ea234c0023dac04c44
2026-02-25T06:02:14.949426+00:00,1771995730,0x3e8f9b935db8aa660853ce8cf340482ccc26e1eb,BT-polymarket,BUY,No,Will Binance be accused of insider trading?,which-crypto-company-will-zachxbt-expose-for-insider-trading,30000,0.9552513256666667,28657.54,200,496,False,False,False,https://polymarket.com/event/which-crypto-company-will-zachxbt-expose-for-insider-trading,0xa4ad3f8b30c6bd30b5a38a897bc8d7f775b5d1967b80ca466bad8272f73a45de
2026-02-25T06:02:16.974616+00:00,1771995476,0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,033033033,BUY,No,"Will Gold (GC) hit (HIGH) $10,000 by end of February?",what-will-gold-gc-hit-by-end-of-february,29790.8,0.999,29761.01,200,475,False,False,False,https://polymarket.com/event/what-will-gold-gc-hit-by-end-of-february,0x031e079c4136db801ce87ea5b657e6b5a7394224dd8f7272ab5becbd7106e40b
2026-02-25T06:02:18.152258+00:00,1771993330,0xddad680c6060d6cb6a120120551f866bbc02c6e4,0x9c8cb6406c3943c4f29998ee24e1e0da9c1cf32e,BUY,No,Will Trump nominate Rick Rieder as the next Fed chair?,who-will-trump-nominate-as-fed-chair,20753.803,0.999,20733.05,25,1556,False,False,False,https://polymarket.com/event/who-will-trump-nominate-as-fed-chair,0xbad011b92c45a56c14845307b79a83cd24fe43390fd70a2f7db6bae95d3e3124
2026-02-25T06:02:19.537915+00:00,1771992848,0xc96aeabae8c81faf8d803201da1d2461cefc396a,-JB-,BUY,No,"Will Trump say ""Judy Shelton"" during the State of the Union address?",who-will-trump-name-during-the-state-of-the-union-address,47952.06,0.9985123241837786,47880.72,200,713,False,False,False,https://polymarket.com/event/who-will-trump-name-during-the-state-of-the-union-address,0xd19d4fafe5ec778586ab8a400234419bcd4637eb51c42dade99c07c6b839f9e4
